heap,bptree,hash,sequential,isam,brin,rtree
0.0892,0.3428,0.2079,0.3982,0.3438,0.3352,1.4782
0.087,0.3598,0.2389,0.3788,0.2811,0.2952,2.0149
0.088,0.3421,0.1888,0.3881,0.3986,0.2871,1.3371
0.0887,0.627,0.19,0.3991,0.3519,0.3679,1.9598
0.0887,0.345,0.1931,0.3619,0.3703,0.3152,1.8721
0.0892,0.4451,0.226,0.3819,0.2367,0.3061,1.375
0.0861,0.3688,0.2069,0.402,0.3712,0.277,2.0671
0.088,0.36,0.201,0.402,0.3748,0.2937,1.9979
0.0889,0.3719,0.2019,0.3822,0.3619,0.2868,1.3521
0.0861,0.3591,0.2019,0.3788,0.3672,0.2759,1.9529
0.093,0.3369,0.2401,0.3653,0.349,0.2711,1.385
0.0889,0.3481,0.2232,0.3891,0.3521,0.3111,1.2519
0.0861,0.309,0.1979,0.3939,0.392,0.2761,1.878
0.0927,0.473,0.2041,101.5592,0.387,0.2699,1.4517
0.0889,0.2658,0.2048,0.452,0.3488,0.2661,2.0883
0.0868,0.2906,0.1919,0.4511,0.3369,0.3109,2.0189
0.087,0.2663,0.191,0.4711,0.335,0.2718,1.8339
0.0892,0.267,0.2511,0.4432,0.3388,0.2701,1.8208
0.0908,0.2651,0.2198,0.4463,0.3667,0.272,1.9948
0.0861,0.2661,0.2692,0.4308,0.3521,0.3049,2.003
0.083,0.2592,0.2,0.4251,0.3421,0.277,1.9221
0.0889,0.2618,0.1769,0.4289,0.371,0.2692,1.7061
0.088,0.268,0.1953,0.4439,0.3939,0.3109,2.0459
0.0899,0.298,0.1879,0.4499,0.3431,0.3142,1.8818
0.0868,0.2658,0.2301,0.459,0.34,0.2711,2.0671
0.0858,0.2611,0.2007,0.3998,0.3903,0.294,1.3821
0.0861,0.2689,0.185,0.3991,0.3459,0.2811,1.9269
0.0861,0.263,0.248,0.3998,0.355,0.3133,1.91
0.0861,0.257,0.2649,0.36,0.2511,0.33,1.8702
0.0823,0.4399,0.195,0.4082,0.3562,0.2949,1.874
0.0877,0.267,0.2007,0.402,0.351,0.2732,1.8618
